gender,age,job,marital,province,city,prefer,frequency,wineFrequency,side,choice1,seq,area_grade,choice2,choice1_당도,choice1_알콜 농도,choice1_과일향,choice1_오크향,choice1_깊이,choice1_견고함,choice2_당도,choice2_알콜 농도,choice2_과일향,choice2_오크향,choice2_깊이,choice2_견고함
MALE,50대,중소기업직원,MARREID,부산시,해운대구,당도,5,4,Annon,A,1,1급지,A,M,H,M,H,H,H,M,H,M,H,H,H
FEMALE,30대,연구원,SINGLE,경상도,하동군,깊이감,2,1,Roquefort,D,2,5급지,B,H,H,H,M,L,L,H,L,H,M,L,M
FEMALE,30대,자영업,MARREID,부산시,사하구,깊이감,4,1,Cheddar,B,3,2급지,G,H,L,H,M,L,M,L,H,H,H,M,M
FEMALE,40대,자영업,MARREID,부산시,사하구,당도,1,1,Gorgonzola,D,4,2급지,B,H,H,H,M,L,L,H,L,H,M,L,M
FEMALE,40대,의사,MARREID,서울시,강남구,깊이감,1,1,Gorgonzola,C,5,1급지,C,H,L,H,M,M,M,H,L,H,M,M,M
MALE,50대,회사직원,SINGLE,부산시,사하구,깊이감,3,2,Camenbert,G,6,2급지,C,L,H,H,H,M,M,H,L,H,M,M,M
MALE,30대,임시직,MARREID,서울시,강남구,당도,1,1,Annon,H,7,1급지,F,M,H,M,M,H,H,M,H,M,M,M,H
FEMALE,60대 이상,임시직,SINGLE,서울시,강남구,깊이감,3,2,Annon,C,8,1급지,H,H,L,H,M,M,M,M,H,M,M,H,H
MALE,20대,학생,MARREID,부산시,해운대구,깊이감,2,1,Brie,D,9,1급지,A,H,H,H,M,L,L,M,H,M,H,H,H
FEMALE,50대,임시직,MARREID,경기도,포천시,당도,1,1,Valencay,D,10,2급지,B,H,H,H,M,L,L,H,L,H,M,L,M
MALE,20대,중소기업직원,MARREID,경상도,거제시,깊이감,3,1,Brie,C,11,5급지,E,H,L,H,M,M,M,H,H,M,M,M,L
FEMALE,20대,중소기업직원,MARREID,서울시,강북구,당도,2,1,Annon,B,12,3급지,E,H,L,H,M,L,M,H,H,M,M,M,L
MALE,50대,자영업,SINGLE,서울시,강남구,깊이감,2,1,Ricotta,D,13,1급지,E,H,H,H,M,L,L,H,H,M,M,M,L
FEMALE,40대,벤처직원,SINGLE,경기도,포천시,깊이감,2,1,Annon,H,14,2급지,E,M,H,M,M,H,H,H,H,M,M,M,L
MALE,50대,기자,MARREID,서울시,강남구,당도,1,1,Cheddar,A,15,1급지,D,M,H,M,H,H,H,H,H,H,M,L,L
MALE,20대,학생,MARREID,충청도,청주시,깊이감,2,1,Gorgonzola,E,16,1급지,E,H,H,M,M,M,L,H,H,M,M,M,L
FEMALE,50대,중소기업직원,MARREID,부산시,사하구,깊이감,2,1,Valencay,D,17,2급지,B,H,H,H,M,L,L,H,L,H,M,L,M
FEMALE,50대,공무원,MARREID,서울시,강남구,당도,1,1,Cheddar,D,18,1급지,D,H,H,H,M,L,L,H,H,H,M,L,L
FEMALE,40대,임시직,MARREID,서울시,강남구,당도,3,2,Gorgonzola,B,19,1급지,C,H,L,H,M,L,M,H,L,H,M,M,M
FEMALE,40대,변호사,MARREID,서울시,양천구,당도,3,2,Ricotta,H,20,1급지,C,M,H,M,M,H,H,H,L,H,M,M,M
FEMALE,50대,자영업,MARREID,전라도,해남군,당도,3,2,Camenbert,E,21,4급지,C,H,H,M,M,M,L,H,L,H,M,M,M
FEMALE,20대,자영업,MARREID,서울시,양천구,깊이감,1,1,Roquefort,B,22,1급지,A,H,L,H,M,L,M,M,H,M,H,H,H
FEMALE,40대,교수,MARREID,전라도,곡성군,깊이감,1,1,Valencay,C,23,6급지,B,H,L,H,M,M,M,H,L,H,M,L,M
FEMALE,50대,연구원,MARREID,서울시,양천구,당도,3,2,Brie,B,24,1급지,G,H,L,H,M,L,M,L,H,H,H,M,M
FEMALE,20대,자영업,SINGLE,부산시,해운대구,당도,2,1,Annon,D,25,1급지,C,H,H,H,M,L,L,H,L,H,M,M,M
FEMALE,50대,임시직,SINGLE,충청도,청주시,당도,1,1,Brie,H,26,1급지,D,M,H,M,M,H,H,H,H,H,M,L,L
FEMALE,30대,벤처직원,SINGLE,부산시,진구,깊이감,3,1,Camenbert,E,27,5급지,E,H,H,M,M,M,L,H,H,M,M,M,L
MALE,50대,회사직원,MARREID,서울시,강북구,깊이감,1,1,Gorgonzola,D,28,3급지,H,H,H,H,M,L,L,M,H,M,M,H,H
FEMALE,40대,연구원,MARREID,경상도,함안군,당도,2,1,Roquefort,C,29,5급지,G,H,L,H,M,M,M,L,H,H,H,M,M
MALE,50대,임시직,SINGLE,충청도,청주시,당도,1,1,Camenbert,A,30,1급지,E,M,H,M,H,H,H,H,H,M,M,M,L
FEMALE,40대,임시직,SINGLE,전라도,광양시,당도,4,3,Ricotta,C,31,4급지,G,H,L,H,M,M,M,L,H,H,H,M,M
FEMALE,40대,자영업,SINGLE,서울시,강북구,당도,3,1,Valencay,G,32,3급지,D,L,H,H,H,M,M,H,H,H,M,L,L
FEMALE,30대,교수,MARREID,경상도,거제시,당도,3,2,Ricotta,B,33,5급지,D,H,L,H,M,L,M,H,H,H,M,L,L
FEMALE,40대,연구원,MARREID,경기도,안양시,깊이감,1,1,Annon,C,34,3급지,D,H,L,H,M,M,M,H,H,H,M,L,L
MALE,40대,변호사,SINGLE,충청도,홍성군,깊이감,4,2,Roquefort,G,35,5급지,G,L,H,H,H,M,M,L,H,H,H,M,M
MALE,40대,공무원,MARREID,경상도,포항시 남구,깊이감,3,1,Gorgonzola,F,36,2급지,F,M,H,M,M,M,H,M,H,M,M,M,H
MALE,30대,벤처직원,MARREID,부산시,사하구,깊이감,4,1,Brie,G,37,2급지,A,L,H,H,H,M,M,M,H,M,H,H,H
MALE,50대,공무원,MARREID,충청도,천안시,당도,5,2,Cheddar,E,38,4급지,A,H,H,M,M,M,L,M,H,M,H,H,H
FEMALE,30대,벤처직원,MARREID,경기도,안양시,깊이감,3,2,Camenbert,E,39,3급지,A,H,H,M,M,M,L,M,H,M,H,H,H
FEMALE,40대,공무원,SINGLE,부산시,해운대구,당도,2,1,Ricotta,F,40,1급지,C,M,H,M,M,M,H,H,L,H,M,M,M
MALE,30대,중소기업직원,MARREID,부산시,사하구,깊이감,1,1,Brie,A,41,2급지,C,M,H,M,H,H,H,H,L,H,M,M,M
FEMALE,50대,자영업,SINGLE,서울시,양천구,깊이감,3,2,Valencay,C,42,1급지,H,H,L,H,M,M,M,M,H,M,M,H,H
MALE,30대,임시직,MARREID,충청도,청주시,깊이감,2,1,Cheddar,G,43,1급지,F,L,H,H,H,M,M,M,H,M,M,M,H
MALE,20대,학생,MARREID,충청도,청주시,당도,1,1,Annon,D,44,1급지,E,H,H,H,M,L,L,H,H,M,M,M,L
FEMALE,20대,벤처직원,MARREID,경기도,안양시,깊이감,5,1,Gorgonzola,B,45,3급지,F,H,L,H,M,L,M,M,H,M,M,M,H
FEMALE,40대,임시직,SINGLE,충청도,청주시,깊이감,3,1,Brie,A,46,1급지,G,M,H,M,H,H,H,L,H,H,H,M,M
MALE,30대,교수,MARREID,서울시,강남구,당도,1,1,Annon,E,47,1급지,E,H,H,M,M,M,L,H,H,M,M,M,L
FEMALE,50대,벤처직원,MARREID,부산시,사하구,당도,2,1,Roquefort,D,48,2급지,E,H,H,H,M,L,L,H,H,M,M,M,L
MALE,40대,교수,MARREID,부산시,기장군,깊이감,2,1,Ricotta,F,49,1급지,F,M,H,M,M,M,H,M,H,M,M,M,H
FEMALE,50대,변호사,MARREID,경상도,포항시 남구,당도,4,3,Gorgonzola,C,50,2급지,B,H,L,H,M,M,M,H,L,H,M,L,M
MALE,40대,벤처직원,MARREID,전라도,익산시,당도,2,1,Ricotta,D,51,6급지,A,H,H,H,M,L,L,M,H,M,H,H,H
MALE,30대,벤처직원,MARREID,부산시,사하구,당도,5,2,Camenbert,E,52,2급지,H,H,H,M,M,M,L,M,H,M,M,H,H
MALE,30대,의사,SINGLE,전라도,곡성군,깊이감,3,2,Brie,G,53,6급지,E,L,H,H,H,M,M,H,H,M,M,M,L
FEMALE,20대,중소기업직원,MARREID,충청도,홍성군,당도,3,1,Cheddar,C,54,5급지,D,H,L,H,M,M,M,H,H,H,M,L,L
MALE,20대,중소기업직원,SINGLE,부산시,해운대구,깊이감,2,1,Valencay,C,55,1급지,G,H,L,H,M,M,M,L,H,H,H,M,M
FEMALE,30대,벤처직원,MARREID,경기도,평택시,깊이감,2,1,Ricotta,E,56,3급지,D,H,H,M,M,M,L,H,H,H,M,L,L
MALE,50대,변호사,SINGLE,경상도,포항시 남구,당도,1,1,Gorgonzola,H,57,2급지,F,M,H,M,M,H,H,M,H,M,M,M,H
FEMALE,40대,변호사,MARREID,경기도,화성시,당도,2,1,Gorgonzola,D,58,2급지,C,H,H,H,M,L,L,H,L,H,M,M,M
FEMALE,50대,자영업,MARREID,경기도,포천시,당도,2,1,Cheddar,D,59,2급지,D,H,H,H,M,L,L,H,H,H,M,L,L
MALE,50대,회사직원,SINGLE,서울시,양천구,깊이감,2,1,Ricotta,E,60,1급지,F,H,H,M,M,M,L,M,H,M,M,M,H
FEMALE,40대,벤처직원,SINGLE,충청도,청주시,깊이감,1,1,Gorgonzola,D,61,1급지,E,H,H,H,M,L,L,H,H,M,M,M,L
MALE,40대,회사직원,MARREID,부산시,해운대구,깊이감,1,1,Roquefort,G,62,1급지,E,L,H,H,H,M,M,H,H,M,M,M,L
MALE,40대,자영업,MARREID,경기도,포천시,깊이감,1,1,Gorgonzola,H,63,2급지,D,M,H,M,M,H,H,H,H,H,M,L,L
FEMALE,20대,학생,MARREID,충청도,청주시,당도,3,2,Brie,B,64,1급지,D,H,L,H,M,L,M,H,H,H,M,L,L
FEMALE,40대,교수,MARREID,서울시,강북구,당도,1,1,Camenbert,C,65,3급지,B,H,L,H,M,M,M,H,L,H,M,L,M
MALE,40대,자영업,SINGLE,부산시,사하구,당도,5,1,Brie,H,66,2급지,B,M,H,M,M,H,H,H,L,H,M,L,M
FEMALE,20대,자영업,MARREID,전라도,광양시,당도,3,1,Cheddar,E,67,4급지,A,H,H,M,M,M,L,M,H,M,H,H,H
FEMALE,50대,임시직,SINGLE,서울시,강남구,당도,5,3,Roquefort,E,68,1급지,D,H,H,M,M,M,L,H,H,H,M,L,L
FEMALE,30대,벤처직원,SINGLE,경상도,포항시 남구,깊이감,4,2,Valencay,B,69,2급지,C,H,L,H,M,L,M,H,L,H,M,M,M
MALE,50대,회사직원,MARREID,부산시,해운대구,깊이감,1,1,Annon,A,70,1급지,F,M,H,M,H,H,H,M,H,M,M,M,H
