gender,age,job,marital,province,city,choice,prefer,frequency,wineFrequency,side,choice1,seq,area_grade
MALE,50대,중소기업직원,MARREID,부산시,해운대구,A,당도,5,4,Annon,A,1,1급지
FEMALE,30대,연구원,SINGLE,경상도,하동군,D,깊이감,2,1,Roquefort,B,2,5급지
FEMALE,30대,자영업,MARREID,부산시,사하구,B,깊이감,4,1,Cheddar,G,3,2급지
FEMALE,40대,자영업,MARREID,부산시,사하구,D,당도,1,1,Gorgonzola,B,4,2급지
FEMALE,40대,의사,MARREID,서울시,강남구,C,깊이감,1,1,Gorgonzola,C,5,1급지
MALE,50대,회사직원,SINGLE,부산시,사하구,G,깊이감,3,2,Camenbert,C,6,2급지
MALE,30대,임시직,MARREID,서울시,강남구,H,당도,1,1,Annon,F,7,1급지
FEMALE,60대 이상,임시직,SINGLE,서울시,강남구,C,깊이감,3,2,Annon,H,8,1급지
MALE,20대,학생,MARREID,부산시,해운대구,D,깊이감,2,1,Brie,A,9,1급지
FEMALE,50대,임시직,MARREID,경기도,포천시,D,당도,1,1,Valencay,B,10,2급지
MALE,20대,중소기업직원,MARREID,경상도,거제시,C,깊이감,3,1,Brie,E,11,5급지
FEMALE,20대,중소기업직원,MARREID,서울시,강북구,B,당도,2,1,Annon,E,12,3급지
MALE,50대,자영업,SINGLE,서울시,강남구,D,깊이감,2,1,Ricotta,E,13,1급지
FEMALE,40대,벤처직원,SINGLE,경기도,포천시,H,깊이감,2,1,Annon,E,14,2급지
MALE,50대,기자,MARREID,서울시,강남구,A,당도,1,1,Cheddar,D,15,1급지
MALE,20대,학생,MARREID,충청도,청주시,E,깊이감,2,1,Gorgonzola,E,16,1급지
FEMALE,50대,중소기업직원,MARREID,부산시,사하구,D,깊이감,2,1,Valencay,B,17,2급지
FEMALE,50대,공무원,MARREID,서울시,강남구,D,당도,1,1,Cheddar,D,18,1급지
FEMALE,40대,임시직,MARREID,서울시,강남구,B,당도,3,2,Gorgonzola,C,19,1급지
FEMALE,40대,변호사,MARREID,서울시,양천구,H,당도,3,2,Ricotta,C,20,1급지
FEMALE,50대,자영업,MARREID,전라도,해남군,E,당도,3,2,Camenbert,C,21,4급지
FEMALE,20대,자영업,MARREID,서울시,양천구,B,깊이감,1,1,Roquefort,A,22,1급지
FEMALE,40대,교수,MARREID,전라도,곡성군,C,깊이감,1,1,Valencay,B,23,6급지
FEMALE,50대,연구원,MARREID,서울시,양천구,B,당도,3,2,Brie,G,24,1급지
FEMALE,20대,자영업,SINGLE,부산시,해운대구,D,당도,2,1,Annon,C,25,1급지
FEMALE,50대,임시직,SINGLE,충청도,청주시,H,당도,1,1,Brie,D,26,1급지
FEMALE,30대,벤처직원,SINGLE,부산시,진구,E,깊이감,3,1,Camenbert,E,27,5급지
MALE,50대,회사직원,MARREID,서울시,강북구,D,깊이감,1,1,Gorgonzola,H,28,3급지
FEMALE,40대,연구원,MARREID,경상도,함안군,C,당도,2,1,Roquefort,G,29,5급지
MALE,50대,임시직,SINGLE,충청도,청주시,A,당도,1,1,Camenbert,E,30,1급지
FEMALE,40대,임시직,SINGLE,전라도,광양시,C,당도,4,3,Ricotta,G,31,4급지
FEMALE,40대,자영업,SINGLE,서울시,강북구,G,당도,3,1,Valencay,D,32,3급지
FEMALE,30대,교수,MARREID,경상도,거제시,B,당도,3,2,Ricotta,D,33,5급지
