그룹,당도,알콜 농도,과일향,오크향,깊이,견고함,,,,,,,
A,M,H,M,H,H,H,1,,,,,,
B,H,L,H,M,L,M,2,,,,,,
C,H,L,H,M,M,M,2,,,,,,
D,H,H,H,M,L,L,3,,,,,,
E,H,H,M,M,M,L,3,,,,,,
F,M,H,M,M,M,H,1,,,,,,
G,L,H,H,H,M,M,1.5,,,,,,
H,  ,H,M,M,H,H,1,,,,,,
,,,,,,,,,,,,,
,,,,,,choice1,choice1,choice1,choice1,choice1,choice1,choice1,choice1
,,,,,,a,b,c,d,e,f,g,h
,,,,,,choice1 group,choice1 group,choice1 group,choice1 group,choice1 group,choice1 group,choice1 group,choice1 group
,,,,,,1,2,2,3,3,1,1,1
,,,,,,choice2,choice2,choice2,choice2,choice2,choice2,choice2,choice2
,,,,,,1,23,23,23,3,13,3,13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,부분 빈도,확률,,,
,,,,,,,1-1,3,4,0.75,,"1-1,3",
,,,,,,,1-2,0,4,0,,"2-2,3",
,,,,,,,1-3,3,4,0.75,,"3-2,3",
,,,,,,,2-1,0,2,0,,,
,,,,,,,2-2,2,2,1,,3은 치즈와 잘 어울리는 것으로 사람들이 생각하는 와인 군집임,
,,,,,,,2-3,2,2,1,,,
,,,,,,,3-1,0,2,0,,,
,,,,,,,3-2,1,2,0.5,,,
,,,,,,,3-3,2,2,1,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,50%i,,,,,
